A,B,C,D,E,F,G,H,I,J,K,L,M,N,O
0,10,100,20,25,30,35,40,45,50,55,60,65,70,75
10,0,15,100,20,25,30,35,40,45,50,55,60,65,70
100,15,0,10,100,20,25,30,35,40,45,50,55,60,65
20,100,10,0,15,100,20,25,30,35,40,45,50,55,60
25,20,100,15,0,10,100,20,25,30,35,40,45,50,55
30,25,20,100,10,0,15,100,20,25,30,35,40,45,50
35,30,25,20,100,15,0,10,100,20,25,30,35,40,45
40,35,30,25,20,100,10,0,15,100,20,25,30,35,40
45,40,35,30,25,20,100,15,0,10,100,20,25,30,35
50,45,40,35,30,25,20,100,10,0,15,100,20,25,30
55,50,45,40,35,30,25,20,100,15,0,10,100,20,25
60,55,50,45,40,35,30,25,20,100,10,0,15,100,20
65,60,55,50,45,40,35,30,25,20,100,15,0,10,100
70,65,60,55,50,45,40,35,30,25,20,100,10,0,15
75,70,65,60,55,50,45,40,35,30,25,20,100,15,0
